name,num
ghost world,1
Princess casement,1
castle voice,1
castle hours,1
castle approach,1
castle words,1
cast art,1
Princess soul,1
mistress it,1
mistress me,1
story father,1
assistance Princess,1
assistance assistance,1
assistance hour,1
stranger humanity,1
Lady stranger,1
stranger I,1
breast I,1
castle secret,1
castle domestics,1
castle it,1
questions I,1
question Lady,1
Lord death,1
Lord questions,1
Lord casement,1
Stranger conversation,1
Stranger silent,1
Stranger fidelity,1
Stranger phrases,1
Stranger Father,1
Stranger ways,1
Stranger thing,1
Stranger me,1
cloister mystery,1
mystery Lady,1
priest affairs,1
State Father,1
State Wife,1
State Manfred,1
apostrophe duty,1
astonishment impatience,1
castle delay,1
monastery Lady,1
monastery means,1
destruction calamities,1
destruction principality,1
Prince designs,1
honesty allurements,1
honesty thee,1
honesty honesty,1
honesty order,1
Lord crown,1
Lady it,1
circumstances crowd,1
Prince passions,1
castle peasant,1
impostor youth,1
impostor Lord,1
question Highness,1
questions satisfaction,1
questions father,1
story truth,1
story me,1
destruction Lady,1
injustice art,1
question Manfred,1
distress distress,1
distress Theodore,1
history Theodore,1
request Manfred,1
interest Jerome,1
assistants passions,1
history history,1
history time,1
Lord Injurious,1
Lord son,1
Lord honesty,1
castle trumpet,1
posterity Jerome,1
posterity thought,1
Princess it,1
question question,1
question message,1
Count Marsigli,1
Lady IsabellaLady,1
IsabellaLady Matilda,1
honesty nothing,1
staircase I,1
stairs yourself,1
stairs Highness,1
steps rattling,1
Lord gallery,1
story Giant,1
Prince bearing,1
Prince obstacle,1
obstacle Prince,1
Prince influence,1
Prince wife,1
Prince truth,1
feast feast,1
feast gaiety,1
Prince spirits,1
Prince draughts,1
castle freshness,1
castle company,1
Prince heart,1
Prince pangs,1
Princess wine,1
Princess hours,1
Prince spy,1
haste Prince,1
castle instant,1
instant conference,1
Prince Father,1
Prince persons,1
Prince whispers,1
Princess rest,1
instances castle,1
struggles passion,1
ravest Marquis,1
Princess end,1
destruction Theodore,1
castle foundations,1
castle force,1
justice satisfaction,1
ancestor crimes,1
storm Ricardo,1
posterity Otranto,1
posterity owner,1
castle male,1
outcast Manfred,1
testimony avail,1
breast secret,1
breast rest,1
rest part,1
castle part,1
Prince Hippolita,1
ministers yourself,1
ministers youth,1
Sir Theodore,1
Prince message,1
castle postern,1
Prince thee,1
Prince power,1
distance league,1
interest Marquis,1
style Princes,1
Princes Otranto,1
ancestors Lady,1
Lady cross,1
castle Jerome,1
obstruction Theodore,1
monastery conduct,1
instant castle,1
castle Friar,1
Lady affliction,1
Princess domestics,1
domestics convent,1
Prince consternation,1
consternation comfort,1
Prince Theodore,1
castle reception,1
stranger Knight,1
castle cavalcade,1
Prince hall,1
castle Knight,1
burst supporters,1
guests guests,1
questions vizors,1
questions Prince,1
Prince guests,1
guests I,1
Princes Princes,1
strangers mutes,1
guests intercourse,1
Prince intercourse,1
Prince Princes,1
mistresses me,1
mistresses Knight,1
pastime Knights,1
rest Lady,1
rest dominions,1
rest article,1
estate estate,1
estate title,1
Lord Princes,1
Princes dignity,1
ancestors question,1
Sirs ye,1
Sirs Manfred,1
Sirs powers,1
Sirs fate,1
story signs,1
Sirs Prince,1
Prince nothing,1
mistress friend,1
Lord state,1
state thought,1
Prince Friar,1
strangers nothing,1
Sirs absence,1
castle look,1
Sirs church,1
stranger contradictions,1
Prince contradictions,1
Princess flight,1
Prince Lady,1
Sirs traitor,1
Prince traitor,1
Prince pursuit,1
castle orders,1
assistance attendants,1
assistance castle,1
Prince death,1
domestics precipitate,1
castle herself,1
modesty step,1
step ties,1
domestics safety,1
bestowest defense,1
Princess sanctuaries,1
seacoast seacoast,1
seacoast signs,1
struggles Matilda,1
castle youth,1
monastery cause,1
monastery Jerome,1
steps way,1
castle unknown,1
Princess agony,1
Princess orders,1
Princess absconding,1
Princess suspicions,1
obstruction chief,1
stroke shield,1
stranger victory,1
instrument tyrant,1
mistake gentleman,1
Princess gentleman,1
Princess voice,1
Princess fears,1
domestics Manfred,1
Princess eyes,1
Sir Knight,1
castle yourself,1
castle father,1
Sir victim,1
Princess expense,1
Sir life,1
Princess Frederic,1
domestics Theodore,1
domestics Frederic,1
Princesses Theodore,1
Lord match,1
story daughter,1
Princes Palestine,1
Palestine Frederic,1
trust trust,1
trust offices,1
behests lowliness,1
behests It,1
Princesses Princesses,1
Princesses foundation,1
Lord noise,1
circumstances combat,1
history thou,1
impostor Manfred,1
assistance story,1
story assistance,1
assistance I,1
waste mother,1
Lord spectre,1
Lord mind,1
guest guest,1
guest rest,1
stranger Isabella,1
destruction union,1
destiny hand,1
monastery remainder,1
Prince Thou,1
rest rest,1
rest child,1
Princesses inclination,1
Princesses imprudence,1
Princesses improbability,1
castle Theodore,1
rest son,1
modesty beauty,1
modesty It,1
destruction tyrant,1
Prince virtue,1
state horror,1
Prince shade,1
Lady exemption,1
Lord name,1
Lord decrees,1
Prince charms,1
chusest servants,1
Lady nay,1
Prince menaces,1
Lady thunders,1
Lady sentence,1
Prince Jerome,1
statue drops,1
Lord church,1
instant notice,1
symptoms,1
birthday,1
amazement,1
times,1
bleeding,1
remains,1
insensibility,1
singularity,1
sympathy,1
commiseration,1
rigor,1
inquiries,1
conjectures,1
Good,1
treason,1
gripe,1
Villain,1
mob,1
Alfonse,1
brains,1
supposition,1
necromancer,1
cognizance,1
affair,1
savage,1
generality,1
probability,1
nutriment,1
affliction,1
fault,1
pause,1
mood,1
sorrows,1
rising,1
torch,1
begone,1
supports,1
prudence,1
parents,1
undeserving,1
prime,1
age,1
delusion,1
imperiously,1
fright,1
gulf,1
perdition,1
Delay,1
doorThe,1
leave,1
paces,1
sort,1
cavern,1
somebody,1
Traitor,1
durance,1
accomplices,1
blockhead,1
lie,1
impatient,1
plate,1
path,1
asperity,1
clamours,1
mifortune,1
Satan,1
shuddering,1
angel,1
Where,1
Trouble,1
fortitude,1
reality,1
marks,1
outrage,1
yearnings,1
bride,1
Donna,1
Rosara,1
O,1
harshness,1
Nay,1
harm,1
sin,1
madam,1
proposals,1
caprice,1
cavalier,1
babbling,1
humor,1
Nobody,1
couch,1
offers,1
blessings,1
frank,1
lovers,1
simpleton,1
today,1
sharpness,1
game,1
play,1
sorcerer,1
observations,1
worth,1
talisman,1
magic,1
intercourse,1
fervor,1
devotion,1
call,1
freindship,1
ought,1
firmness,1
intruder,1
repentance,1
Highnesses,1
kindness,1
Parents,1
coloring,1
villain,1
uncharitableness,1
respecter,1
resolve,1
demand,1
choice,1
influence,1
grandeur,1
calamities,1
preservation,1
tongue,1
throne,1
fury,1
allurements,1
reposes,1
compliances,1
welfare,1
subjects,1
intentions,1
degree,1
dispensation,1
work,1
godliness,1
saw,1
belief,1
share,1
detriment,1
bravado,1
Bear,1
Help,1
boon,1
imprudence,1
indiscretion,1
sins,1
years,1
regret,1
foes,1
rise,1
thy,1
collar,1
shirt,1
arrow,1
effusion,1
contrivance,1
fruit,1
cruelty,1
My,1
House,1
vanities,1
horses,1
methods,1
possibility,1
argument,1
promise,1
persuasion,1
measure,1
Rome,1
material,1
don,1
girl,1
halidame,1
letter,1
wooing,1
leisure,1
companion,1
things,1
Francisco,1
ambition,1
matters,1
prophesy,1
fooleries,1
bawble,1
attendance,1
Giant,1
trifles,1
visions,1
maiden,1
brain,1
clattering,1
intermarriage,1
encomiums,1
marriages,1
engagements,1
goblets,1
challenges,1
unconcern,1
freshness,1
alter,1
cowl,1
